Regd No #,T,P,A,(%),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1210315733,19,13,6,68,P:1,P:1,P:1,A:1,,A:1,,A:1,A:1,P:1,P:1,,P:1,A:1,,A:1,P:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315734,19,9,10,47,A:1,P:1,P:1,A:1,,P:1,,A:1,A:1,A:1,P:1,,A:1,A:1,,A:1,P:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,A:1,A:1
1210315735,19,16,3,84,P:1,P:1,P:1,A:1,,P:1,,P:1,P:1,P:1,P:1,,P:1,A:1,,P:1,P:1,P:1,,A:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315736,19,12,7,63,A:1,P:1,P:1,A:1,,A:1,,P:1,A:1,P:1,P:1,,P:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315737,19,11,8,57,P:1,A:1,A:1,A:1,,P:1,,P:1,P:1,A:1,P:1,,A:1,A:1,,P:1,A:1,P:1,,P:1,,,P:1,,,,P:1,,P:1,A:1,A:1
1210315738,19,14,5,73,P:1,P:1,P:1,A:1,,P:1,,P:1,A:1,P:1,P:1,,P:1,A:1,,P:1,P:1,P:1,,P:1,,,A:1,,,,A:1,,A:1,P:1,P:1
1210315739,19,8,11,42,A:1,A:1,P:1,A:1,,A:1,,A:1,P:1,P:1,P:1,,A:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,A:1,,A:1,P:1,P:1
1210315740,19,14,5,73,A:1,P:1,P:1,P:1,,P:1,,A:1,P:1,A:1,P:1,,P:1,A:1,,P:1,A:1,P:1,,P:1,,,P:1,,,,A:1,,P:1,P:1,P:1
1210315741,19,13,6,68,A:1,P:1,P:1,A:1,,P:1,,A:1,P:1,A:1,P:1,,P:1,A:1,,P:1,P:1,P:1,,P:1,,,P:1,,,,A:1,,P:1,P:1,A:1
1210315742,19,6,13,31,A:1,A:1,A:1,A:1,,A:1,,A:1,A:1,A:1,P:1,,A:1,A:1,,A:1,A:1,P:1,,A:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315743,19,5,14,26,A:1,A:1,A:1,A:1,,A:1,,A:1,A:1,A:1,P:1,,P:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,A:1,,A:1,A:1,P:1
1210315744,19,6,13,31,A:1,A:1,P:1,A:1,,A:1,,A:1,A:1,A:1,P:1,,A:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,A:1,,A:1,P:1,P:1
1210315745,19,8,11,42,A:1,A:1,A:1,A:1,,A:1,,A:1,A:1,A:1,P:1,,A:1,A:1,,P:1,A:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315746,19,9,10,47,A:1,P:1,P:1,A:1,,P:1,,P:1,A:1,P:1,P:1,,A:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,A:1,,A:1,A:1,P:1
1210315747,19,8,11,42,A:1,A:1,P:1,A:1,,A:1,,A:1,A:1,P:1,P:1,,A:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,A:1,P:1
1210315748,19,5,14,26,A:1,P:1,A:1,A:1,,A:1,,A:1,A:1,P:1,P:1,,A:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,A:1,,A:1,A:1,A:1
1210315749,19,3,16,15,A:1,A:1,A:1,A:1,,A:1,,A:1,A:1,A:1,P:1,,A:1,A:1,,A:1,A:1,P:1,,A:1,,,A:1,,,,A:1,,P:1,A:1,A:1
1210315750,19,9,10,47,A:1,A:1,A:1,P:1,,A:1,,A:1,A:1,P:1,P:1,,A:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315751,19,17,2,89,A:1,P:1,P:1,P:1,,A:1,,P:1,P:1,P:1,P:1,,P:1,A:1,,P:1,P:1,P:1,,P:1,,,P:1,,,,P:1,,P:1,P:1,P:1
1210315752,19,17,2,89,P:1,P:1,P:1,A:1,,P:1,,P:1,P:1,P:1,P:1,,P:1,A:1,,P:1,A:1,P:1,,P:1,,,P:1,,,,P:1,,P:1,P:1,P:1
1210315753,19,16,3,84,P:1,P:1,P:1,A:1,,A:1,,P:1,P:1,P:1,P:1,,P:1,A:1,,P:1,P:1,P:1,,P:1,,,P:1,,,,P:1,,P:1,A:1,P:1
1210315754,19,16,3,84,P:1,P:1,P:1,P:1,,P:1,,P:1,P:1,P:1,P:1,,P:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315755,19,10,9,52,A:1,P:1,A:1,A:1,,A:1,,A:1,A:1,P:1,P:1,,A:1,A:1,,A:1,A:1,P:1,,P:1,,,P:1,,,,P:1,,P:1,P:1,P:1
1210315756,19,15,4,78,P:1,P:1,P:1,A:1,,A:1,,P:1,P:1,P:1,P:1,,P:1,A:1,,P:1,A:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315757,19,13,6,68,A:1,P:1,A:1,A:1,,P:1,,P:1,A:1,P:1,P:1,,P:1,A:1,,P:1,P:1,P:1,,P:1,,,P:1,,,,A:1,,A:1,P:1,P:1
1210315758,19,18,1,94,P:1,P:1,P:1,A:1,,P:1,,P:1,P:1,P:1,P:1,,P:1,A:1,,P:1,P:1,P:1,,P:1,,,P:1,,,,P:1,,P:1,P:1,P:1
1210315759,19,12,7,63,A:1,A:1,A:1,A:1,,A:1,,A:1,P:1,P:1,P:1,,P:1,A:1,,P:1,P:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315760,19,12,7,63,A:1,P:1,P:1,A:1,,A:1,,A:1,P:1,P:1,P:1,,A:1,A:1,,A:1,P:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315761,19,6,13,31,A:1,A:1,A:1,A:1,,A:1,,A:1,A:1,P:1,P:1,,A:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,A:1,,A:1,P:1,P:1
1210315762,19,14,5,73,P:1,P:1,P:1,P:1,,A:1,,P:1,A:1,P:1,P:1,,P:1,A:1,,P:1,A:1,P:1,,P:1,,,P:1,,,,A:1,,A:1,P:1,P:1
1210315764,19,11,8,57,P:1,A:1,A:1,A:1,,A:1,,A:1,P:1,P:1,P:1,,P:1,A:1,,P:1,A:1,P:1,,A:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315765,19,11,8,57,A:1,A:1,P:1,P:1,,P:1,,P:1,A:1,P:1,P:1,,P:1,A:1,,A:1,A:1,P:1,,A:1,,,A:1,,,,P:1,,P:1,P:1,A:1
1210315766,19,8,11,42,A:1,P:1,P:1,A:1,,A:1,,A:1,A:1,A:1,P:1,,A:1,A:1,,A:1,A:1,P:1,,P:1,,,P:1,,,,A:1,,P:1,P:1,A:1
1210315767,19,12,7,63,P:1,P:1,P:1,P:1,,P:1,,A:1,P:1,A:1,P:1,,P:1,A:1,,P:1,A:1,P:1,,A:1,,,P:1,,,,A:1,,P:1,A:1,A:1
